key,track,artist,album,genre,date
Anna Lunoe/Anna Lunoe - Live @ Coachella Music Festival 2017 in California (16.04.17).mp3,Anna Lunoe,Anna Lunoe,"{'name': 'Coachella 2017', 'artist': 'Various Artists'}",Electronic,2017-04-16
Annie Mac/Annie Mac - Live @ Glastonbury 2017 in Sommerset (23.06.17).mp3,Annie Mac,Annie Mac,"{'name': 'Glastonbury 2017', 'artist': 'Various Artists'}",Electronic,2017-06-23
Annie Mac/Annie Mac - Live @ Ibiza Rocks Hotel in Ibiza (02.08.15).mp3,Annie Mac,Annie Mac,"{'name': 'Ibiza Rocks 2015', 'artist': 'Various Artists'}",House,2015-08-02
"Annie Mac/Annie Mac - Live @ Radio 1 Party, Cream, Privilege in Ibiza (02.08.14).mp3",Annie Mac,Annie Mac,"{'name': 'Cream Ibiza 2014', 'artist': 'Various Artists'}",House,2014-08-02
"Annie Mac/Annie Mac - Live @ Radio 1 Party, Ushuaia Hotel in Ibiza (31.07.15).mp3",Annie Mac,Annie Mac,"{'name': 'Ushuaia 2015', 'artist': 'Various Artists'}",Electronic,2015-07-31
Annie Mac/Annie Mac - Live @ Sonar Festival 2012 in Barcelona (16.06.12).mp3,Annie Mac,Annie Mac,"{'name': 'Sonar Festival 2012', 'artist': 'Various Artists'}",Electronic,2012-06-16
Annie Mac & Friends/Annie Mac & Friends - Live @ Radio 1 - Live @ Ushuaia Hotel in Ibiza (03.08.12).mp3,Annie Mac & Friends,Annie Mac,"{'name': 'Ushuaia 2012', 'artist': 'Various Artists'}",Electronic,2012-08-03
"Annie Mac & Kiesza/Annie Mac & Kiesza - Live @ Radio 1 Party, Ushuaia in Ibiza (01.08.14).mp3",Annie Mac & Kiesza,Annie Mac & Kiesza,"{'name': 'Ushuaia 2014', 'artist': 'Various Artists'}",House,2014-08-01
"Annie Mac & Pete Tong/Annie Mac & Pete Tong - Live @ Radio 1 Party, Ushuaia Hotel in Ibiza (31.07.15).mp3",Annie Mac b2b Pete Tong,Annie Mac b2b Pete Tong,"{'name': 'Ushuaia 2015', 'artist': 'Various Artists'}",Electronic,2015-07-31
Annie Mac b2b Tiga/Annie Mac b2b Tiga - Live @ Glastonbury 2014 in Somerset (28.06.14).mp3,Annie Mac b2b Tiga,Annie Mac b2b Tiga,"{'name': 'Glastonbury 2014', 'artist': 'Various Artists'}",Electronic,2014-06-28
Antal/Antal - Live in radio 1 Essential Mix (15.10.22).mp3,Antal 2022,Antal,"{'name': 'Essential Mix', 'artist': 'Various Artists'}",Electronic,2022-10-15
Apollonia/Apollonia - Live on Radio 1 Essential Mix (25.10.14).mp3,Apollonia 2014,Apollonia,"{'name': 'Essential Mix', 'artist': 'Various Artists'}",House,2014-10-25
Archie Hamilton/Archie Hamilton - Live on Radio 1 Essential Mix (17.01.20).mp3,Archie Hamilton 2020,Archie Hamilton,"{'name': 'Essential Mix', 'artist': 'Various Artists'}",Techno,2020-01-17
"Arielle Free & Sonny Fedora/Radio 1's Dance Weekend, Dance Anthems Ibiza, Arielle Free and Sonny Fodera.mp4",Arielle Free and Sonny Fodera,Arielle Free and Sonny Fodera,"{'name': ""Radio 1's Dance Weekend"", 'artist': 'Various Artists'}",Electronic,
"Arrica/Radio 1 Dance Presents..., Drumsheds Airrica.mp4",Airrica,Airrica,"{'name': 'Drumsheds', 'artist': 'Various Artists'}",Electronic,
Artwork/Artwork - Live on Radio 1 Essential Mix (16.12.17).mp3,Artwork 2017,Artwork,"{'name': 'Essential Mix', 'artist': 'Various Artists'}",House,2017
Arty/Arty - Live on Radio 1 Essential Mix (11.02.12).mp3,Arty 2012,Arty,"{'name': 'Essential Mix', 'artist': 'Various Artists'}",Trance,2012-02-11
Autograf/Autograf - Live @ Coachella Music Festival 2017 in California (15.04.17).mp3,Autograf,Autograf,"{'name': 'Coachella 2017', 'artist': 'Various Artists'}",Electronic,2017-04-15
Axwell Ingrosso/Axwell Ingrosso - Live @ Coachella Music Festival 2015 in California (11.04.15).mp3,Axwell Ingrosso,Axwell Ingrosso,"{'name': 'Coachella 2015', 'artist': 'Various Artists'}",Electronic,2015-04-11
Azari & III/Azari & III - Live on Radio 1 Essential Mix (14.01.12).mp3,Azari & III 2012,Azari & III,"{'name': 'Essential Mix', 'artist': 'Various Artists'}",Electronic,2012
B Traits/B Traits - Live @ Ibiza Rocks Hotel in Ibiza (02.08.15).mp3,B.Traits,B.Traits,"{'name': 'Ibiza Rocks 2015', 'artist': 'Various Artists'}",House,2015-08-02
"B Traits & Monki/B Traits & Monki - Live @ Radio 1 Party, Ushuaia in Ibiza (01.08.14).mp3",B Traits & Monki,B Traits & Monki,"{'name': 'Ushuaia 2014', 'artist': 'Various Artists'}",House,2014-08-01
BT/BT - Live @ Coachella Festival 2002 in California (05.05.02).mp3,BT,BT,"{'name': 'Coachella 2002', 'artist': 'Various Artists'}",Electronic,2002
BURNS/BURNS - Live on Radio 1 Essential Mix (19.02.22).mp3,BURNS 2022,BURNS,"{'name': 'Essential Mix', 'artist': 'Various Artists'}",House,2022-02-19
Baauer/Baauer - Live @ Coachella Music Festival 2016 in California (24.04.16).mp3,Baauer,Baauer,"{'name': 'Coachella 2016', 'artist': 'Various Artists'}",Electronic,2016-04-24
Banks/Banks - Live @ Coachella Music Festival 2017 in California (14.04.17).mp3,Banks,Banks,"{'name': 'Coachella 2017', 'artist': 'Various Artists'}",Electronic,2017
Barely Legal/Barely Legal - Live on Radio 1 Essential Mix (11.01.20).mp3,Barely Legal 2020,Barely Legal,"{'name': 'Essential Mix', 'artist': 'Various Artists'}",House,2020
Becky Hill/Becky_Hill_-_Believe_Me_Now_Album_Launch_Party_Mixmag.mp3,Believe Me Now Album Launch Party,Becky Hill,"{'name': 'Becky Hill Sets', 'artist': 'Becky Hill'}",Dance,2024
Becky Hill/Becky_Hill_-_Full_Set_Live_at_Capital_s_Summertime_Ball_2024_Capital.mp3,Capital Summertime Ball 2024,Becky Hill,"{'name': 'Becky Hill Sets', 'artist': 'Becky Hill'}",Dance,2024
Becky Hill/Becky_Hill_Full_Set_Capital_Dance_Live_In_Ibiza.mp3,Capital Dance in Ibiza,Becky Hill,"{'name': 'Becky Hill Sets', 'artist': 'Becky Hill'}",Dance,2023
"Becky Hill/Radio 1's Dance Party with Danny Howard, Becky Hill!.mp4",Becky Hill,Danny Howard,"{'name': ""Radio 1's Dance Party"", 'artist': 'Various Artists'}",Dance,
"Becky Hill/Radio 1's Dance Weekend, Dance Anthems Ibiza, Becky Hill.mp4",Becky Hill,Becky Hill,"{'name': ""Radio 1's Dance Weekend"", 'artist': 'Various Artists'}",Dance,
Bedouin/Bedouin - Live on Radio 1 Essential Mix (06.03.20).mp3,Bedouin 2020,Bedouin,"{'name': 'Essential Mix', 'artist': 'Various Artists'}",Electronic,2020
Ben Hemsley/Ben Hemsley - Live on Radio 1 Essential Mix (01.10.22).mp3,Ben Hemsley 2022,Ben Hemsley,"{'name': 'Essential Mix', 'artist': 'Various Artists'}",Electronic,2022-10-01
Ben Hemsley/Ben_Hemsley_-_Angel_Of_The_North_Live_Stream_Ministry_of_Sound.mp3,Angel Of The North,Ben Hemsley,"{'name': 'Ben Hemsley Sets', 'artist': 'Ben Hemsley'}",Electronic,
"Ben Hemsley/Radio 1 Dance Presents..., Drumsheds Ben Hemsley.mp4",Ben Hemsley,Ben Hemsley,"{'name': 'Drumsheds', 'artist': 'Various Artists'}",House,
Ben Klock/Ben Klock - Liv on Radio 1 Essential Mix (10.10.15).mp3,Ben Klock 2015,Ben Klock,"{'name': 'Essential Mix', 'artist': 'Various Artists'}",Techno,2015-10-10
Ben Pierce/Ben Pierce - Live on Radio 1 Essential Mix (13.05.17).mp3,Ben Pearce 2017,Ben Pearce,"{'name': 'Essential Mix', 'artist': 'Various Artists'}",House,2017-05-13
Ben Sims/Ben Sims - Live on Radio 1 Essential Mix (23.04.22).mp3,Ben Sims 2022,Ben Sims,"{'name': 'Essential Mix', 'artist': 'Various Artists'}",Techno,2022-04-23
Benny Benassi/Benny Benassi - Live @ Coachella Music Festival 2013 in California (13.04.13).mp3,Benny Benassi,Benny Benassi,"{'name': 'Coachella 2013', 'artist': 'Various Artists'}",Electronic,2013-04-13
Benny Benassi/Benny Benassi - Live @ Privilege in Ibiza (04.08.12).mp3,Live at Privilege Ibiza,Benny Benassi,"{'name': 'Benny Benassi Sets', 'artist': 'Benny Benassi'}",House,2012-08-04
Better Lost Than Stupid/Better Lost Than Stupid - Live @ Miami WMC 2017 in Miani (25.03.17).mp3,Better Lost Than Stupid,Better Lost Than Stupid,"{'name': 'Miami WMC 2017', 'artist': 'Various Artists'}",House,2017-03-25
Bicep/Bicep - Live on Radio 1 Essential Mix (09.12.17).mp3,Bicep 2017,Bicep,"{'name': 'Essential Mix', 'artist': 'Various Artists'}",House,2017
Bicep/Bicep - Live on Radio 1 Essential Mix (27.09.14).mp3,Bicep 2014,Bicep,"{'name': 'Essential Mix', 'artist': 'Various Artists'}",House,2014-09-27
Big Gigantic/Big Gigantic - Live @ Coachella Music Festival 2017 in California (14.04.17).mp3,Big Gigantic,Big Gigantic,"{'name': 'Coachella 2017', 'artist': 'Various Artists'}",Electronic,2017-04-14
Bklava/Bklava - Live on Radio 1 Essential Mix (20.08.22).mp3,Bklava 2022,Bklava,"{'name': 'Essential Mix', 'artist': 'Various Artists'}",Electronic,2022-08-20
Black Coffee/Black Coffee - Live @ Coachella 2022 in California (19.04.22).mp3,Black Coffee,Black Coffee,"{'name': 'Coachella 2022', 'artist': 'Various Artists'}",Electronic,2022
Black Coffee/Black Coffee - Live @ Coachella Music Festival 2016 in California (22.04.16).mp3,Black Coffee,Black Coffee,"{'name': 'Coachella 2016', 'artist': 'Various Artists'}",House,2016-04-22
Black Coffee/Black Coffee - Live on Radio 1 Essential Mix (04.07.20).mp3,Black Coffee 2020,Black Coffee,"{'name': 'Essential Mix', 'artist': 'Various Artists'}",House,2020
Black Coffee/Black Coffee - Live on Radio 1 Essential Mix (21.11.15).mp3,Black Coffee 2015,Black Coffee,"{'name': 'Essential Mix', 'artist': 'Various Artists'}",Electronic,2015
Bob Moses/Bob Moses - Live @ Coachella Music Festival 2016 in California (23.04.16).mp3,Bob Moses,Bob Moses,"{'name': 'Coachella 2016', 'artist': 'Various Artists'}",House,2016-04-23
Bodinski & Gesaffelstein/Bodinski & Gesaffelstein - Live @ Sonar Festival 2012 in Barcelona (16.06.12).mp3,Brodinski & Gesaffelstein,Brodinski & Gesaffelstein,"{'name': 'Sonar Festival 2012', 'artist': 'Various Artists'}",Electronic,2012-06-16
Bonobo/Bonobo - Live @ Coachella Music Festival 2017 in California (14.04.17).mp3,Bonobo,Bonobo,"{'name': 'Coachella 2017', 'artist': 'Various Artists'}",Electronic,2017-04-14
Bonobo/Bonobo - Live @ Glastonbury Festival 2022 in Somerset (02.07.22).mp3,Bonobo,Bonobo,"{'name': 'Glastonbury Festival 2022', 'artist': 'Various Artists'}",Electronic,2022
Bonobo/Bonobo - Live on Radio 1 Essential Mix (12.04.14).mp3,Bonobo 2014,Bonobo,"{'name': 'Essential Mix', 'artist': 'Various Artists'}",Electronic,2014-04-12
Bonobo & TEED/Bonobo & TEED - Live on Radio 1 Essential Mix (17.10.20).mp3,Bonobo & TEED 2020,Bonobo & TEED,"{'name': 'Essential Mix', 'artist': 'Various Artists'}",Electronic,2020-10-17
Bontan/Bontan - Live on Radio 1 Essential Mix (25.11.17).mp3,Bontan 2017,Bontan,"{'name': 'Essential Mix', 'artist': 'Various Artists'}",House,2017-11-25
Bou/Bou - Live on Radio 1 Essential Mix (05.11.22).mp3,Bou 2022,Bou,"{'name': 'Essential Mix', 'artist': 'Various Artists'}",Electronic,2022-11-05
Bradley Zero/Bradley Zero - Live on Radio 1 Essential Mix (24.10.20).mp3,Bradley Zero 2020,Bradley Zero,"{'name': 'Essential Mix', 'artist': 'Various Artists'}",Electronic,2020-10-24
Butch/Butch - Live on Radio 1 Essential Mix (03.03.12).mp3,Butch 2012,Butch,"{'name': 'Essential Mix', 'artist': 'Various Artists'}",Electronic,2012
"CC Disco!/Radio 1's Essential Mix, CC DISCO!.mp4",CC DISCO!,CC DISCO!,"{'name': 'Essential Mix', 'artist': 'Various Artists'}",Electronic,
Calibrre/Calibrre - Live on Radio 1 Essential Mix (01.07.17).mp3,Calibrre 2017,Calibrre,"{'name': 'Essential Mix', 'artist': 'Various Artists'}",Electronic,2017-07-01
Calvin Harris/Calvin Harris - Live @ Coachella Music Festival 2014 in California (13.04.14).mp3,Calvin Harris,Calvin Harris,"{'name': 'Coachella 2014', 'artist': 'Various Artists'}",House,2014-04-13
Calvin Harris/Calvin Harris - Live @ Radio 1 Big Weekend in Coventry (18.06.22).mp3,Calvin Harris,Calvin Harris,"{'name': 'Radio 1 Big Weekend 2022', 'artist': 'Various Artists'}",House,2022-06-18
"Calvin Harris/Calvin Harris - Live @ Radio 1 Party, Ushuaia Hotel in Ibiza (31.07.15).mp3",Calvin Harris,Calvin Harris,"{'name': 'Ushuaia 2015', 'artist': 'Various Artists'}",House,2015-07-31
Calyx & Teebee/Calyx & Teebee - Live on Radio 1 Essential Mix (08.12.12).mp3,Calyx & Teebee 2012,Calyx & Teebee,"{'name': 'Essential Mix', 'artist': 'Various Artists'}",Drum & Bass,2012-12-08
Camelphat/Camelphat - Live @ Coachella 2019 in California (19.04.19).mp3,CamelPhat,CamelPhat,"{'name': 'Coachella 2019', 'artist': 'Various Artists'}",Techno,2019-04-19
Camelphat/Camelphat - Live on Radio 1 Essential Mix (31.10.20).mp3,CamelPhat 2020,CamelPhat,"{'name': 'Essential Mix', 'artist': 'Various Artists'}",House,2020-10-31
Camo & Krooked/Camo & Krooked - Live on Radio 1 Essential Mix (06.05.17).mp3,Camo & Krooked 2017,Camo & Krooked,"{'name': 'Essential Mix', 'artist': 'Various Artists'}",Drum & Bass,2017-05-06
Caribou/Caribou - Live @ Coachella 2022 in California (19.04.22).mp3,Caribou,Caribou,"{'name': 'Coachella 2022', 'artist': 'Various Artists'}",Electronic,2022-04-19
Caribou/Caribou - Live on Radio 1 Essential Mix (18.10.14).mp3,Caribou 2014,Caribou,"{'name': 'Essential Mix', 'artist': 'Various Artists'}",Electronic,2014-10-18
Caribou/Caribou - Live on Radio 1 Essential Mix (29.02.20).mp3,Caribou 2020,Caribou,"{'name': 'Essential Mix', 'artist': 'Various Artists'}",Electronic,2020-02-29
Caribou/Caribou - Live on Radio 1 Essential Mix of The Year (27.12.14).mp3,Caribou 2014,Caribou,"{'name': 'Essential Mix', 'artist': 'Various Artists'}",Electronic,2014-12-27
Carista/Carista - Live on Radio 1 Essential Mix (07.02.20).mp3,Carista 2020,Carista,"{'name': 'Essential Mix', 'artist': 'Various Artists'}",Electronic,2020-02-07
"Carl Cox/Carl Cox - Live @ Carl Cox Birthday Party, Space in Ibiza (31.07.12).mp3",Carl Cox Live at Space Ibiza 2012,Carl Cox,"{'name': 'Carl Cox Sets', 'artist': 'Carl Cox'}",Techno,2012-07-31
Carl Cox/Carl Cox - Live @ Ibiza Rocks Hotel in Ibiza (02.08.15).mp3,Carl Cox,Carl Cox,"{'name': 'Ibiza Rocks 2015', 'artist': 'Various Artists'}",Techno,2015
"Carl Cox/Carl Cox - Live @ Radio 1 Essential Mix Ibiza 20 Special Part 6, Space (27.07.15).mp3",Carl Cox 2015,Carl Cox,"{'name': 'Essential Mix', 'artist': 'Various Artists'}",Techno,2015-07-27
Carl Cox/Carl Cox - Live @ Space in Ibiza (11.10.14).mp3,Live at Space Ibiza 2014,Carl Cox,"{'name': 'Carl Cox Sets', 'artist': 'Carl Cox'}",Techno,2014-10-11
Carl Cox/Carl Cox - Live on Radio 1 Essential Mix (01.08.20).mp3,Carl Cox 2020,Carl Cox,"{'name': 'Essential Mix', 'artist': 'Various Artists'}",Techno,2020
Carnage/Carnage - Live @ Coachella Music Festival 2014 in California (13.04.14).mp3,Carnage,Carnage,"{'name': 'Coachella 2014', 'artist': 'Various Artists'}",Electronic,2014-04-13
Chaos In The CBD/Chaos In The CBD - Live on Radio 1 Essential Mix (21.03.20).mp3,Chaos In The CBD 2020,Chaos In The CBD,"{'name': 'Essential Mix', 'artist': 'Various Artists'}",House,2020-03-21
"Charli XCX/BBC Radio 1's Big Weekend, Live Sets_ Luton 2024, Charli XCX.mp4",Charli XCX,Charli XCX,"{'name': ""BBC Radio 1's Big Weekend 2024"", 'artist': 'Various Artists'}",Pop,2024
"Charlie Hedges/Radio 1's Dance Weekend, Dance Anthems Ibiza, Charlie Hedges live from Ibiza.mp4",Charlie Hedges,Charlie Hedges,"{'name': ""Radio 1's Dance Weekend"", 'artist': 'Various Artists'}",Dance,
Charlotte De Witte/Charlotte De Witte - Live @ Coachella 2019 in California (21.04.19).mp3,Charlotte De Witte,Charlotte De Witte,"{'name': 'Coachella 2019', 'artist': 'Various Artists'}",Techno,2019-04-21
Chase & Status/Chase & Status - Live @ Privilege in Ibiza (04.08.12).mp3,Live at Privilege Ibiza 2012,Chase & Status,"{'name': 'Chase & Status Sets', 'artist': 'Chase & Status'}",Drum & Bass,2012-08-04
"Chase & Status/Radio 1's Dance Weekend, Radio 1 Dance Ibiza, Chase and Status.mp4",Chase & Status,Chase & Status,"{'name': ""Radio 1's Dance Weekend"", 'artist': 'Various Artists'}",Drum & Bass,
Chloe Robinson/Chloe Robinson - LIve on Radio 1 Essential Mix (24.09.22).mp3,Chloe Robinson 2022,Chloe Robinson,"{'name': 'Essential Mix', 'artist': 'Various Artists'}",Electronic,2022-09-24
Chris Lake/Chris Lake - Live @ Coachella 2019 in California (19.04.19).mp3,Chris Lake,Chris Lake,"{'name': 'Coachella 2019', 'artist': 'Various Artists'}",Techno,2019-04-19
Chris Liebing/Chris Liebing - Live @ Coachella 2022 in California (19.04.22).mp3,Chris Liebing,Chris Liebing,"{'name': 'Coachella 2022', 'artist': 'Various Artists'}",Techno,2022-04-19
Chuckie/Chuckie - Live @ Essential Mix in Hull (28.01.12).mp3,Chuckie 2012,Chuckie,"{'name': 'Essential Mix', 'artist': 'Various Artists'}",House,2012-01-28
Claptone/Claptone - Live @ Coachella Music Festival 2016 in California (24.04.16).mp3,Claptone,Claptone,"{'name': 'Coachella 2016', 'artist': 'Various Artists'}",House,2016-04-24
Claptone/Claptone - Live on Radio 1 Essential Mix (25.04.15).mp3,Claptone 2015,Claptone,"{'name': 'Essential Mix', 'artist': 'Various Artists'}",House,2015-04-25
Claptone/Claptone - Live on Radio 1 Essential Mix (25.07.20).mp3,Claptone 2020,Claptone,"{'name': 'Essential Mix', 'artist': 'Various Artists'}",House,2020-07-25
Classix/Classixx - Live @ Coachella Music Festival 2017 in California (15.04.17).mp3,Classixx,Classixx,"{'name': 'Coachella 2017', 'artist': 'Various Artists'}",Electronic,2017-04-15
Claude Von Stroke/Claude Von Stroke - Live on Radio 1 Essential Mix (15.02.20).mp3,Claude VonStroke 2020,Claude VonStroke,"{'name': 'Essential Mix', 'artist': 'Various Artists'}",House,2020-02-15
Coldcut & Seven Davis Jr/Coldcut & Seven Davis Jr - Live on Radio Essential Mix (26.09.15).mp3,Coldcut & Seven Davis Jr 2015,Coldcut & Seven Davis Jr,"{'name': 'Essential Mix', 'artist': 'Various Artists'}",Electronic,2015-09-26
"Confidence Man/BBC Radio 1's Big Weekend, Live Sets_ Liverpool 2025, Confidence Man.mp4",Confidence Man,Confidence Man,"{'name': ""BBC Radio 1's Big Weekend 2025"", 'artist': 'Various Artists'}",Dance,2025
Courtland/Courtland - Live @ Coachella Music Festival 2017 in California (15.04.17).mp3,Courtland,Courtland,"{'name': 'Coachella 2017', 'artist': 'Various Artists'}",Electronic,2017-04-15
Cut Snake/Cut Snake - Live @ Coachella Music Festival 2016 in California (23.04.16).mp3,Cut Snake,Cut Snake,"{'name': 'Coachella 2016', 'artist': 'Various Artists'}",House,2016-04-23
Cystal Castles/Crystal Castles - Live @ Coachella Music Festival 2017 in California (14.04.17).mp3,Crystal Castles,Crystal Castles,"{'name': 'Coachella 2017', 'artist': 'Various Artists'}",Electronic,2017-04-14
"D.O.D./Radio 1 Dance Presents..., Armada Music_ D.O.D..mp4",D.O.D,D.O.D,"{'name': 'Radio 1 Dance Presents...', 'artist': 'Various Artists'}",Electronic,
DJ Boring/DJ Boring - Live on Radio 1 Essential Mix (13.06.20).mp3,DJ Boring 2020,DJ Boring,"{'name': 'Essential Mix', 'artist': 'Various Artists'}",House,2020-06-13
DJ Craze/DJ Craze - Live on Radio 1 Essential Mix (18.11.17).mp3,DJ Craze 2017,DJ Craze,"{'name': 'Essential Mix', 'artist': 'Various Artists'}",Electronic,2017-11-18
DJ EZ/DJ EZ - Live on Radio 1 Essential Mix (11.04.15).mp3,DJ EZ 2015,DJ EZ,"{'name': 'Essential Mix', 'artist': 'Various Artists'}",Electronic,2015-04-11
DJ Khaled/DJ Khaled - Live @ Coachella Music Festival 2017 in California (16.04.17).mp3,DJ Khaled,DJ Khaled,"{'name': 'Coachella 2017', 'artist': 'Various Artists'}",Hip Hop,2017-04-16
DJ Minx/DJ Minx - Live on Raio 1 Essential Mix (29.01.22).mp3,DJ Minx 2022,DJ Minx,"{'name': 'Essential Mix', 'artist': 'Various Artists'}",Electronic,2022-01-29
DJ Mustard/DJ Mustard - Live @ Coachella Music Festival 2016 in California (22.04.16).mp3,DJ Mustard,DJ Mustard,"{'name': 'Coachella 2016', 'artist': 'Various Artists'}",Hip Hop,2016-04-22
"DJ Seinfeld/The Radio 1 Mini Mix, DJ Seinfeld's 'Six Month Fever Dream' Mini Mix.mp4",Six Month Fever Dream Mini Mix,DJ Seinfeld,"{'name': 'DJ Seinfeld Sets', 'artist': 'DJ Seinfeld'}",House,
DJ Shadow/DJ Shadow - Live @ Coachella Music Festival 2017 in California (14.04.17).mp3,DJ Shadow,DJ Shadow,"{'name': 'Coachella 2017', 'artist': 'Various Artists'}",Electronic,2017-04-14
DJ Snake/DJ Snake - Live @ Coachella Music Festival 2015 in California (10.04.15).mp3,DJ Snake,DJ Snake,"{'name': 'Coachella 2015', 'artist': 'Various Artists'}",Electronic,2015-04-10
